scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,29.55026,-98.27607
Trachemys scripta scripta,29.55026,-98.27607
Trachemys scripta scripta,29.559024,-83.391201
Trachemys scripta scripta,29.565152,-82.604579
Trachemys scripta scripta,29.572208,-82.844571
Trachemys scripta scripta,29.588092,-82.935676
Trachemys scripta scripta,29.588549,-82.934485
Trachemys scripta scripta,29.595369,-98.399356
Trachemys scripta scripta,29.596897,-95.675927
Trachemys scripta scripta,29.601042,-82.36853
Trachemys scripta scripta,29.604786,-82.43915
Trachemys scripta scripta,29.607653,-82.352752
Trachemys scripta scripta,29.612911,-82.410539
Trachemys scripta scripta,29.614537,-82.310845
Trachemys scripta scripta,29.615777,-82.382958
Trachemys scripta scripta,29.615873,-82.314182
Trachemys scripta scripta,29.617378,-82.322127
Trachemys scripta scripta,29.617455,-82.325928
Trachemys scripta scripta,29.617563,-82.368753
Trachemys scripta scripta,29.618913,-82.324143
Trachemys scripta scripta,29.618952,-82.374554
Trachemys scripta scripta,29.619983,-82.357062
Trachemys scripta scripta,29.620792,-82.307037
Trachemys scripta scripta,29.620841,-82.324051
Trachemys scripta scripta,29.62118,-82.417313
Trachemys scripta scripta,29.621188,-82.418962
Trachemys scripta scripta,29.621837,-82.417186
Trachemys scripta scripta,29.622358,-95.647302
Trachemys scripta scripta,29.625233,-82.365169
Trachemys scripta scripta,29.628653,-82.353483
Trachemys scripta scripta,29.628722,-82.353617
Trachemys scripta scripta,29.629075,-82.348962
Trachemys scripta scripta,29.631679,-82.364711
Trachemys scripta scripta,29.63342,-82.369798
Trachemys scripta scripta,29.633617,-82.305078
Trachemys scripta scripta,29.633746,-82.36779
Trachemys scripta scripta,29.633792,-82.367962
Trachemys scripta scripta,29.633914,-82.367419
Trachemys scripta scripta,29.634532,-82.368185
Trachemys scripta scripta,29.634875,-82.368287
Trachemys scripta scripta,29.634942,-82.368247
Trachemys scripta scripta,29.635065,-82.409318
Trachemys scripta scripta,29.636007,-82.451665
Trachemys scripta scripta,29.636192,-82.370972
Trachemys scripta scripta,29.637037,-82.340761
Trachemys scripta scripta,29.637233,-82.313013
Trachemys scripta scripta,29.637262,-82.33082
Trachemys scripta scripta,29.637644,-82.378362
Trachemys scripta scripta,29.639641,-82.362465
Trachemys scripta scripta,29.641032,-82.349606
Trachemys scripta scripta,29.642384,-82.940427
Trachemys scripta scripta,29.642384,-82.940427
Trachemys scripta scripta,29.642384,-82.940427
Trachemys scripta scripta,29.642384,-82.940427
Trachemys scripta scripta,29.64318,-82.32381
Trachemys scripta scripta,29.643453,-82.310318
Trachemys scripta scripta,29.64372,-82.321655
Trachemys scripta scripta,29.643763,-82.321578
Trachemys scripta scripta,29.643822,-82.321472
Trachemys scripta scripta,29.643858,-82.321542
Trachemys scripta scripta,29.643938,-82.32373
Trachemys scripta scripta,29.644338,-82.321825
Trachemys scripta scripta,29.644704,-82.350887
Trachemys scripta scripta,29.645275,-82.351097
Trachemys scripta scripta,29.645362,-82.351005
Trachemys scripta scripta,29.645778,-82.347345
Trachemys scripta scripta,29.645883,-82.347205
Trachemys scripta scripta,29.645899,-82.34724
Trachemys scripta scripta,29.645983,-82.347183
Trachemys scripta scripta,29.646179,-82.739361
Trachemys scripta scripta,29.646316,-82.355086
Trachemys scripta scripta,29.646937,-98.436517
Trachemys scripta scripta,29.647537,-82.34478
Trachemys scripta scripta,29.648193,-82.239228
Trachemys scripta scripta,29.651733,-82.775972
Trachemys scripta scripta,29.653779,-82.395628
Trachemys scripta scripta,29.661391,-82.351377
Trachemys scripta scripta,29.662161,-81.212831
Trachemys scripta scripta,29.66836,-82.238773
Trachemys scripta scripta,29.671322,-83.24539
Trachemys scripta scripta,29.6785,-82.42498
Trachemys scripta scripta,29.681252,-82.409358
Trachemys scripta scripta,29.689435,-82.398805
Trachemys scripta scripta,29.689705,-82.42231
Trachemys scripta scripta,29.69006,-82.398829
Trachemys scripta scripta,29.690136,-82.398928
Trachemys scripta scripta,29.690189,-82.398917
Trachemys scripta scripta,29.690201,-82.398786
Trachemys scripta scripta,29.691463,-82.398413
Trachemys scripta scripta,29.692569,-82.397501
Trachemys scripta scripta,29.692573,-82.397499
Trachemys scripta scripta,29.694505,-82.379263
Trachemys scripta scripta,29.695458,-82.466163
Trachemys scripta scripta,29.695782,-82.345667
Trachemys scripta scripta,29.699314,-95.560654
Trachemys scripta scripta,29.706735,-82.389337
Trachemys scripta scripta,29.70727,-82.394288
Trachemys scripta scripta,29.709222,-82.353225
Trachemys scripta scripta,29.709292,-82.418677
Trachemys scripta scripta,29.712017,-82.392578
Trachemys scripta scripta,29.713528,-95.389952
Trachemys scripta scripta,29.714804,-82.363646
Trachemys scripta scripta,29.715437,-95.389223
Trachemys scripta scripta,29.716125,-82.46045
Trachemys scripta scripta,29.717297,-82.399955
Trachemys scripta scripta,29.7177,-95.390388
Trachemys scripta scripta,29.718467,-82.353805
Trachemys scripta scripta,29.718956,-95.392637
Trachemys scripta scripta,29.719362,-95.392205
Trachemys scripta scripta,29.722915,-82.261773
Trachemys scripta scripta,29.723033,-85.006622
Trachemys scripta scripta,29.724092,-95.340653
Trachemys scripta scripta,29.749572,-82.472855
Trachemys scripta scripta,29.755842,-95.631226
Trachemys scripta scripta,29.759224,-82.42524
Trachemys scripta scripta,29.764367,-95.449334
Trachemys scripta scripta,29.764447,-95.4495
Trachemys scripta scripta,29.764539,-95.4493
Trachemys scripta scripta,29.769324,-85.084245
Trachemys scripta scripta,29.769872,-82.077719
Trachemys scripta scripta,29.789327,-98.727502
Trachemys scripta scripta,29.804471,-95.819789
Trachemys scripta scripta,29.804471,-95.819789
Trachemys scripta scripta,29.804471,-95.819789
Trachemys scripta scripta,29.819444,-84.988056
Trachemys scripta scripta,29.819767,-84.98888
Trachemys scripta scripta,29.824558,-82.652367
Trachemys scripta scripta,29.82549,-95.437636
Trachemys scripta scripta,29.82941,-82.683635
Trachemys scripta scripta,29.830613,-82.682725
Trachemys scripta scripta,29.83098,-82.777466
Trachemys scripta scripta,29.831676,-82.462012
Trachemys scripta scripta,29.831848,-82.681594
Trachemys scripta scripta,29.832998,-82.677673
Trachemys scripta scripta,29.833532,-82.677742
Trachemys scripta scripta,29.836153,-83.046708
Trachemys scripta scripta,29.838919,-82.704488
Trachemys scripta scripta,29.839287,-82.704689
Trachemys scripta scripta,29.852339,-82.611961
Trachemys scripta scripta,29.85276,-82.615015
Trachemys scripta scripta,29.853223,-84.99542
Trachemys scripta scripta,29.864063,-82.737492
Trachemys scripta scripta,29.869606,-97.93028
Trachemys scripta scripta,29.875653,-90.028108
Trachemys scripta scripta,29.880032,-84.840477
Trachemys scripta scripta,29.884047,-85.215967
Trachemys scripta scripta,29.887219,-97.936526
Trachemys scripta scripta,29.891561,-97.931481
Trachemys scripta scripta,29.893485,-97.927502
Trachemys scripta scripta,29.893556,-97.927656
Trachemys scripta scripta,29.909615,-82.769048
Trachemys scripta scripta,29.91128,-85.012513
Trachemys scripta scripta,29.9117,-95.682592
Trachemys scripta scripta,29.92883,-90.124542
Trachemys scripta scripta,29.929712,-82.687118
Trachemys scripta scripta,29.958725,-82.777222
Trachemys scripta scripta,29.960336,-82.770958
Trachemys scripta scripta,29.960358,-82.772133
Trachemys scripta scripta,29.965507,-89.991916
Trachemys scripta scripta,29.966192,-82.77079
Trachemys scripta scripta,29.969497,-82.75978
Trachemys scripta scripta,29.971451,-82.759842
Trachemys scripta scripta,29.974471,-95.167908
Trachemys scripta scripta,29.98898,-95.56384
Trachemys scripta scripta,30.002778,-84.544167
Trachemys scripta scripta,30.003542,-84.5595
Trachemys scripta scripta,30.003639,-84.559172
Trachemys scripta scripta,30.005242,-84.557947
Trachemys scripta scripta,30.00615,-84.558765
Trachemys scripta scripta,30.010556,-84.570556
Trachemys scripta scripta,30.011346,-97.983133
Trachemys scripta scripta,30.025821,-83.935738
Trachemys scripta scripta,30.026478,-83.846327
Trachemys scripta scripta,30.029512,-95.301384
Trachemys scripta scripta,30.035228,-83.160692
Trachemys scripta scripta,30.035267,-83.160622
Trachemys scripta scripta,30.036167,-95.263957
Trachemys scripta scripta,30.039048,-84.220417
Trachemys scripta scripta,30.040017,-81.715033
Trachemys scripta scripta,30.040347,-81.715007
Trachemys scripta scripta,30.040387,-81.714929
Trachemys scripta scripta,30.040431,-81.714905
Trachemys scripta scripta,30.040477,-81.714991
Trachemys scripta scripta,30.044908,-83.841865
Trachemys scripta scripta,30.048645,-99.146063
Trachemys scripta scripta,30.053861,-83.879752
Trachemys scripta scripta,30.058501,-81.503323
Trachemys scripta scripta,30.072887,-82.032165
Trachemys scripta scripta,30.07475,-83.89907
Trachemys scripta scripta,30.084368,-84.169806
Trachemys scripta scripta,30.089359,-84.165854
Trachemys scripta scripta,30.089432,-84.165009
Trachemys scripta scripta,30.098527,-84.158487
Trachemys scripta scripta,30.100282,-84.151636
Trachemys scripta scripta,30.120139,-83.928444
Trachemys scripta scripta,30.122335,-81.400335
Trachemys scripta scripta,30.122789,-84.163739
Trachemys scripta scripta,30.128257,-85.732886
Trachemys scripta scripta,30.129345,-95.576707
Trachemys scripta scripta,30.130335,-85.729975
Trachemys scripta scripta,30.13655,-84.104629
Trachemys scripta scripta,30.139809,-84.129578
Trachemys scripta scripta,30.140497,-84.139193
Trachemys scripta scripta,30.142961,-84.139197
Trachemys scripta scripta,30.147045,-84.142236
Trachemys scripta scripta,30.150668,-84.147088
Trachemys scripta scripta,30.15072,-85.652138
Trachemys scripta scripta,30.151416,-84.144487
Trachemys scripta scripta,30.170514,-84.237004
Trachemys scripta scripta,30.172046,-83.984523
Trachemys scripta scripta,30.176524,-84.666724
Trachemys scripta scripta,30.17683,-84.669804
Trachemys scripta scripta,30.178183,-82.68694
Trachemys scripta scripta,30.179913,-83.980324
Trachemys scripta scripta,30.189915,-81.720573
Trachemys scripta scripta,30.190024,-84.21717
Trachemys scripta scripta,30.2063,-85.819712
Trachemys scripta scripta,30.21664,-81.528756
Trachemys scripta scripta,30.225754,-97.722003
Trachemys scripta scripta,30.227406,-85.612807
Trachemys scripta scripta,30.228317,-85.639659
Trachemys scripta scripta,30.229072,-81.402761
Trachemys scripta scripta,30.233887,-84.301888
Trachemys scripta scripta,30.234525,-84.301872
Trachemys scripta scripta,30.234525,-84.301872
Trachemys scripta scripta,30.234877,-81.520284
Trachemys scripta scripta,30.236577,-84.298703
Trachemys scripta scripta,30.238653,-81.791947
Trachemys scripta scripta,30.23923,-84.269828
Trachemys scripta scripta,30.243245,-89.674462
Trachemys scripta scripta,30.243283,-84.310612
Trachemys scripta scripta,30.24351,-81.702003
Trachemys scripta scripta,30.243984,-82.412267
Trachemys scripta scripta,30.248274,-88.08705
Trachemys scripta scripta,30.257206,-87.641933
Trachemys scripta scripta,30.260242,-87.644788
Trachemys scripta scripta,30.262414,-97.754643
Trachemys scripta scripta,30.262486,-97.754906
Trachemys scripta scripta,30.262501,-97.754823
Trachemys scripta scripta,30.262756,-87.641969
Trachemys scripta scripta,30.265784,-81.513213
Trachemys scripta scripta,30.266813,-81.514833
Trachemys scripta scripta,30.267198,-87.638803
Trachemys scripta scripta,30.267222,-97.823564
Trachemys scripta scripta,30.269678,-87.618574
Trachemys scripta scripta,30.273482,-83.751903
Trachemys scripta scripta,30.273954,-97.802092
Trachemys scripta scripta,30.275791,-82.160553
Trachemys scripta scripta,30.285247,-97.674605
Trachemys scripta scripta,30.28565,-97.674443
Trachemys scripta scripta,30.28565,-97.674443
Trachemys scripta scripta,30.28565,-97.674443
Trachemys scripta scripta,30.28565,-97.674443
Trachemys scripta scripta,30.286333,-97.739005
Trachemys scripta scripta,30.286779,-97.739436
Trachemys scripta scripta,30.286796,-97.739331
Trachemys scripta scripta,30.286805,-97.739433
Trachemys scripta scripta,30.28683,-97.739446
Trachemys scripta scripta,30.286834,-97.739407
Trachemys scripta scripta,30.286848,-97.739441
Trachemys scripta scripta,30.286853,-97.739395
Trachemys scripta scripta,30.286858,-97.739547
Trachemys scripta scripta,30.286878,-97.739487
Trachemys scripta scripta,30.286904,-97.739676
Trachemys scripta scripta,30.286906,-97.739673
Trachemys scripta scripta,30.286933,-97.739417
Trachemys scripta scripta,30.28695,-97.739258
Trachemys scripta scripta,30.286975,-97.739533
Trachemys scripta scripta,30.288846,-97.710972
Trachemys scripta scripta,30.289516,-83.81765
Trachemys scripta scripta,30.299666,-83.809926
Trachemys scripta scripta,30.305246,-83.802049
Trachemys scripta scripta,30.310883,-82.156575
Trachemys scripta scripta,30.311845,-87.414589
Trachemys scripta scripta,30.312599,-86.106347
Trachemys scripta scripta,30.313035,-83.779495
Trachemys scripta scripta,30.31496,-87.410617
Trachemys scripta scripta,30.315437,-87.398072
Trachemys scripta scripta,30.316167,-81.681518
Trachemys scripta scripta,30.322191,-82.740606
Trachemys scripta scripta,30.323442,-87.280433
Trachemys scripta scripta,30.327551,-87.287296
Trachemys scripta scripta,30.332907,-87.135907
Trachemys scripta scripta,30.336037,-86.190583
Trachemys scripta scripta,30.33953,-83.983995
Trachemys scripta scripta,30.340593,-97.642688
Trachemys scripta scripta,30.341882,-83.993728
Trachemys scripta scripta,30.341949,-85.538031
Trachemys scripta scripta,30.342453,-81.630719
Trachemys scripta scripta,30.347428,-85.600481
Trachemys scripta scripta,30.347434,-87.411311
Trachemys scripta scripta,30.350923,-81.4477
Trachemys scripta scripta,30.35418,-86.253678
Trachemys scripta scripta,30.354233,-86.253762
Trachemys scripta scripta,30.356561,-91.094882
Trachemys scripta scripta,30.358508,-97.788125
Trachemys scripta scripta,30.36541,-87.600654
Trachemys scripta scripta,30.366223,-86.179929
Trachemys scripta scripta,30.368513,-83.246253
Trachemys scripta scripta,30.369766,-81.406262
Trachemys scripta scripta,30.374432,-81.789336
Trachemys scripta scripta,30.374432,-81.789336
Trachemys scripta scripta,30.374468,-81.788264
Trachemys scripta scripta,30.378582,-81.785442
Trachemys scripta scripta,30.380544,-86.338719
Trachemys scripta scripta,30.385522,-81.493987
Trachemys scripta scripta,30.387381,-84.229295
