scientific,decimalLat,decimalLon
Trachemys scripta scripta,29.893484999999998,-97.927502000000004
Trachemys scripta scripta,29.893556000000000,-97.927655999999999
Trachemys scripta scripta,29.909614999999999,-82.769047999999998
Trachemys scripta scripta,29.911280000000001,-85.012512999999998
Trachemys scripta scripta,29.911700000000000,-95.682592000000000
Trachemys scripta scripta,29.928830000000001,-90.124542000000005
Trachemys scripta scripta,29.929711999999999,-82.687117999999998
Trachemys scripta scripta,29.958725000000001,-82.777221999999995
Trachemys scripta scripta,29.960336000000002,-82.770957999999993
Trachemys scripta scripta,29.960357999999999,-82.772132999999997
Trachemys scripta scripta,29.965506999999999,-89.991916000000003
Trachemys scripta scripta,29.966191999999999,-82.770790000000005
Trachemys scripta scripta,29.969497000000000,-82.759780000000006
Trachemys scripta scripta,29.971450999999998,-82.759842000000006
Trachemys scripta scripta,29.974471000000001,-95.167907999999997
Trachemys scripta scripta,29.988980000000002,-95.563839999999999
Trachemys scripta scripta,30.002777999999999,-84.544167000000002
Trachemys scripta scripta,30.003541999999999,-84.559500000000000
Trachemys scripta scripta,30.003639000000000,-84.559172000000004
Trachemys scripta scripta,30.005241999999999,-84.557946999999999
Trachemys scripta scripta,30.006150000000002,-84.558764999999994
Trachemys scripta scripta,30.010556000000001,-84.570555999999996
Trachemys scripta scripta,30.011346000000000,-97.983132999999995
Trachemys scripta scripta,30.025821000000001,-83.935738000000001
Trachemys scripta scripta,30.026478000000001,-83.846327000000002
Trachemys scripta scripta,30.029512000000000,-95.301383999999999
Trachemys scripta scripta,30.035228000000000,-83.160691999999997
Trachemys scripta scripta,30.035267000000001,-83.160622000000004
Trachemys scripta scripta,30.036166999999999,-95.263957000000005
Trachemys scripta scripta,30.039048000000001,-84.220416999999998
Trachemys scripta scripta,30.040016999999999,-81.715033000000005
Trachemys scripta scripta,30.040347000000001,-81.715007000000000
Trachemys scripta scripta,30.040386999999999,-81.714928999999998
Trachemys scripta scripta,30.040431000000002,-81.714905000000002
Trachemys scripta scripta,30.040476999999999,-81.714990999999998
Trachemys scripta scripta,30.044908000000000,-83.841864999999999
Trachemys scripta scripta,30.048645000000000,-99.146062999999998
Trachemys scripta scripta,30.053861000000001,-83.879751999999996
Trachemys scripta scripta,30.058501000000000,-81.503322999999995
