scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,40.338935,-75.169287
Trachemys scripta scripta,40.338807,-75.169124
Trachemys scripta scripta,40.338796,-75.169114
Trachemys scripta scripta,40.313293,-76.887057
Trachemys scripta scripta,40.311891,-75.926402
Trachemys scripta scripta,40.308462,-80.005545
Trachemys scripta scripta,40.268463,-75.667809
Trachemys scripta scripta,40.244476,-111.651364
Trachemys scripta scripta,40.212675,-74.94018
Trachemys scripta scripta,40.21264,-74.940333
Trachemys scripta scripta,40.212635,-74.940258
Trachemys scripta scripta,40.209149,-74.943881
Trachemys scripta scripta,40.207791,-75.113687
Trachemys scripta scripta,40.177702,-74.218937
Trachemys scripta scripta,40.171955,-82.966155
Trachemys scripta scripta,40.170905,-75.206687
Trachemys scripta scripta,40.169663,-75.204876
Trachemys scripta scripta,40.102366,-82.901127
Trachemys scripta scripta,40.071725,-75.729155
Trachemys scripta scripta,40.060353,-76.44727
Trachemys scripta scripta,40.056854,-75.09697
Trachemys scripta scripta,40.053826,-83.00835
Trachemys scripta scripta,40.030424,-75.232064
Trachemys scripta scripta,40.028014,-83.17572
Trachemys scripta scripta,40.011029,-80.710534
Trachemys scripta scripta,39.999337,-76.356179
Trachemys scripta scripta,39.980514,-75.203761
Trachemys scripta scripta,39.980403,-75.216364
Trachemys scripta scripta,39.930961,-75.499665
Trachemys scripta scripta,39.930961,-75.499665
Trachemys scripta scripta,39.930048,-75.14089
Trachemys scripta scripta,39.920138,-75.398217
Trachemys scripta scripta,39.901405,-75.183635
Trachemys scripta scripta,39.89245,-75.259571
Trachemys scripta scripta,39.891758,-75.259762
Trachemys scripta scripta,39.884103,-76.732102
Trachemys scripta scripta,39.884025,-76.732343
Trachemys scripta scripta,39.883806,-76.731197
Trachemys scripta scripta,39.883774,-76.732059
Trachemys scripta scripta,39.875168,-82.921828
Trachemys scripta scripta,39.865266,-86.066857
Trachemys scripta scripta,39.862817,-75.395788
Trachemys scripta scripta,39.766592,-79.902908
Trachemys scripta scripta,39.761108,-104.878317
Trachemys scripta scripta,39.729706,-82.6325
Trachemys scripta scripta,39.704331,-105.085978
Trachemys scripta scripta,39.704206,-105.085656
Trachemys scripta scripta,39.704125,-105.085575
Trachemys scripta scripta,39.676537,-76.457162
Trachemys scripta scripta,39.65501,-84.224936
Trachemys scripta scripta,39.654628,-84.22916
Trachemys scripta scripta,39.65287,-84.225971
Trachemys scripta scripta,39.647429,-76.993989
Trachemys scripta scripta,39.644767,-75.707407
Trachemys scripta scripta,39.642822,-86.876974
Trachemys scripta scripta,39.631872,-74.538165
Trachemys scripta scripta,39.630055,-86.12378
Trachemys scripta scripta,39.627338,-84.082515
Trachemys scripta scripta,39.593842,-77.825176
Trachemys scripta scripta,39.590932,-77.42908
Trachemys scripta scripta,39.543055,-83.448667
Trachemys scripta scripta,39.538268,-119.836401
Trachemys scripta scripta,39.535941,-76.348293
Trachemys scripta scripta,39.497266,-76.686639
Trachemys scripta scripta,39.494958,-105.08818
Trachemys scripta scripta,39.47864,-76.687882
Trachemys scripta scripta,39.478557,-76.687638
Trachemys scripta scripta,39.478546,-76.68788
Trachemys scripta scripta,39.476739,-76.694287
Trachemys scripta scripta,39.473458,-77.453622
Trachemys scripta scripta,39.4599907,-86.3798427
Trachemys scripta scripta,39.444473,-76.778527
Trachemys scripta scripta,39.443888,-76.781076
Trachemys scripta scripta,39.443888,-76.781076
Trachemys scripta scripta,39.438039,-77.390011
Trachemys scripta scripta,39.422486,-84.538813
Trachemys scripta scripta,39.385681,-76.647374
Trachemys scripta scripta,39.378155,-76.64431
Trachemys scripta scripta,39.377968,-76.644631
Trachemys scripta scripta,39.370829,-78.018972
Trachemys scripta scripta,39.367718,-77.386386
Trachemys scripta scripta,39.367661,-77.386704
Trachemys scripta scripta,39.341934,-82.029889
Trachemys scripta scripta,39.287981,-76.580785
Trachemys scripta scripta,39.287805,-76.580986
Trachemys scripta scripta,39.28613,-76.580047
Trachemys scripta scripta,39.279402,-84.402308
Trachemys scripta scripta,39.278991,-84.522735
Trachemys scripta scripta,39.277925,-84.256986
Trachemys scripta scripta,39.274432,-84.258309
Trachemys scripta scripta,39.270247,-76.159876
Trachemys scripta scripta,39.24896,-76.592577
Trachemys scripta scripta,39.244762,-76.598938
Trachemys scripta scripta,39.233019,-84.593296
Trachemys scripta scripta,39.230028,-76.729295
Trachemys scripta scripta,39.184203,-76.844392
Trachemys scripta scripta,39.184203,-76.844392
Trachemys scripta scripta,39.183697,-76.844283
Trachemys scripta scripta,39.175717,-84.527503
Trachemys scripta scripta,39.166285,-77.254982
Trachemys scripta scripta,39.129707,-76.947142
Trachemys scripta scripta,39.126834,-84.247839
Trachemys scripta scripta,39.126816,-77.068014
Trachemys scripta scripta,39.12677,-84.247771
Trachemys scripta scripta,39.126677,-77.068119
Trachemys scripta scripta,39.126663,-77.068079
Trachemys scripta scripta,39.126656,-77.068087
Trachemys scripta scripta,39.126597,-84.249121
Trachemys scripta scripta,39.126591,-77.067927
Trachemys scripta scripta,39.12659,-77.068011
Trachemys scripta scripta,39.126565,-77.067974
Trachemys scripta scripta,39.126503,-84.245641
Trachemys scripta scripta,39.126498,-84.245653
Trachemys scripta scripta,39.126483,-84.248815
Trachemys scripta scripta,39.126451,-77.067997
Trachemys scripta scripta,39.099677,-77.242151
Trachemys scripta scripta,39.08242,-77.402439
Trachemys scripta scripta,39.08242,-77.402439
Trachemys scripta scripta,39.079758,-77.15256
Trachemys scripta scripta,39.063546,-77.09957
Trachemys scripta scripta,39.063541,-77.099516
Trachemys scripta scripta,39.061223,-84.747296
Trachemys scripta scripta,39.060206,-104.79132
Trachemys scripta scripta,39.059292,-77.038658
Trachemys scripta scripta,39.0592,-77.315753
Trachemys scripta scripta,39.059146,-77.038402
Trachemys scripta scripta,39.059058,-77.038478
Trachemys scripta scripta,39.058811,-77.037537
Trachemys scripta scripta,39.058235,-77.034081
Trachemys scripta scripta,39.057007,-77.036925
